Dataset,Size,Time type,Time Cost
Vehicle1,100000,Data Feature Collection Time,0.027874398231506347
Vehicle1,100000,Insert Time,0.10500741004943848
Vehicle1,200000,Data Feature Collection Time,0.059456157684326175
Vehicle1,200000,Insert Time,0.1543426513671875
Vehicle1,300000,Data Feature Collection Time,0.09520852565765381
Vehicle1,300000,Insert Time,0.19394493103027344
Vehicle1,400000,Data Feature Collection Time,0.12917823791503907
Vehicle1,400000,Insert Time,0.25543832778930664
Vehicle1,500000,Data Feature Collection Time,0.16693346500396727
Vehicle1,500000,Insert Time,0.3095691204071045
Vehicle1,600000,Data Feature Collection Time,0.19244761466979982
Vehicle1,600000,Insert Time,0.345595121383667
Vehicle1,700000,Data Feature Collection Time,0.21642749309539794
Vehicle1,700000,Insert Time,0.4378986358642578
Vehicle1,800000,Data Feature Collection Time,0.25043907165527346
Vehicle1,800000,Insert Time,0.483018159866333
Vehicle1,900000,Data Feature Collection Time,0.2663597583770752
Vehicle1,900000,Insert Time,0.4891357421875
Vehicle1,1000000,Data Feature Collection Time,0.3050101280212402
Vehicle1,1000000,Insert Time,0.550269603729248
UCI-Gas,100000,Data Feature Collection Time,0.032269072532653806
UCI-Gas,100000,Insert Time,0.11253905296325684
UCI-Gas,200000,Data Feature Collection Time,0.062281680107116696
UCI-Gas,200000,Insert Time,0.1872267723083496
UCI-Gas,300000,Data Feature Collection Time,0.08333303928375244
UCI-Gas,300000,Insert Time,0.2695033550262451
UCI-Gas,400000,Data Feature Collection Time,0.11321809291839599
UCI-Gas,400000,Insert Time,0.3703172206878662
UCI-Gas,500000,Data Feature Collection Time,0.14023222923278808
UCI-Gas,500000,Insert Time,0.4040966033935547
UCI-Gas,600000,Data Feature Collection Time,0.16697797775268555
UCI-Gas,600000,Insert Time,0.45479345321655273
UCI-Gas,700000,Data Feature Collection Time,0.19846704006195068
UCI-Gas,700000,Insert Time,0.5264880657196045
UCI-Gas,800000,Data Feature Collection Time,0.2259660005569458
UCI-Gas,800000,Insert Time,0.6099319458007812
UCI-Gas,900000,Data Feature Collection Time,0.2525336742401123
UCI-Gas,900000,Insert Time,0.657742977142334
UCI-Gas,1000000,Data Feature Collection Time,0.27798192501068114
UCI-Gas,1000000,Insert Time,0.7276294231414795
Train,100000,Data Feature Collection Time,0.0280148983001709
Train,100000,Insert Time,0.10085558891296387
Train,200000,Data Feature Collection Time,0.05742003917694092
Train,200000,Insert Time,0.16794109344482422
Train,300000,Data Feature Collection Time,0.0859283447265625
Train,300000,Insert Time,0.2478628158569336
Train,400000,Data Feature Collection Time,0.11249558925628662
Train,400000,Insert Time,0.32312941551208496
Train,500000,Data Feature Collection Time,0.14179019927978515
Train,500000,Insert Time,0.399975061416626
Train,600000,Data Feature Collection Time,0.1688460350036621
Train,600000,Insert Time,0.46387147903442383
Train,700000,Data Feature Collection Time,0.19769032001495362
Train,700000,Insert Time,0.5610945224761963
Train,800000,Data Feature Collection Time,0.22738020420074462
Train,800000,Insert Time,0.6070916652679443
Train,900000,Data Feature Collection Time,0.2583004951477051
Train,900000,Insert Time,0.6926007270812988
Train,1000000,Data Feature Collection Time,0.2846191883087158
Train,1000000,Insert Time,0.743567705154419
